UTLA,TOTAL _CASES,RATE
Barking and Dagenham,513,242
Barnet,1319,336.4
Barnsley,1092,445.4
Bath and North East Somerset,238,123.9
Bedford,801,466.7
Bexley,743,300.5
Birmingham,3358,294.2
Blackburn with Darwen,422,283.3
Blackpool,682,489.6
Bolton,1061,371.8
"Bournemouth, Christchurch and Poole",492,124.3
Bracknell Forest,263,216.1
Bradford,1455,270.9
Brent,1510,456.5
Brighton and Hove,489,168.4
"Bristol, City of",726,156.7
Bromley,1292,390.2
Buckinghamshire,1068,197.8
Bury,818,430.3
Calderdale,305,145.2
Cambridgeshire,1248,191.6
Camden,642,244.8
Central Bedfordshire,775,273.3
Cheshire East,1355,355.8
Cheshire West and Chester,1245,365.6
City of London,18,206.8
Cornwall and Isles of Scilly,595,104.7
County Durham,2063,391.5
Coventry,843,229.8
Croydon,1522,395
Cumbria,2290,459
Darlington,409,383.8
Derby,642,249.6
Derbyshire,1819,228.5
Devon,831,104.5
Doncaster,950,305.9
Dorset,372,98.8
Dudley,898,280.1
Ealing,1242,363.2
East Riding of Yorkshire,966,284.4
East Sussex,780,140.6
Enfield,898,269
Essex,3422,231.6
Gateshead,1016,501.7
Gloucestershire,1385,218.6
Greenwich,716,250.2
Hackney,663,237.1
Halton,416,323.9
Hammersmith and Fulham,697,375.9
Hampshire,3386,246
Haringey,610,225.4
Harrow,1053,420.9
Hartlepool,354,379.7
Havering,733,284.3
"Herefordshire, County of",464,241.5
Hertfordshire,3001,253.4
Hillingdon,809,265.4
Hounslow,785,289.9
Isle of Wight,203,143.4
Islington,471,197
Kensington and Chelsea,525,336.1
Kent,5607,357.4
"Kingston upon Hull, City of",802,307.7
Kingston upon Thames,533,303.8
Kirklees,802,182.8
Knowsley,677,452.6
Lambeth,1224,375.6
Lancashire,3850,318.2
Leeds,1905,241.4
Leicester,1056,297.3
Leicestershire,1417,202.9
Lewisham,1006,331.4
Lincolnshire,1149,152
Liverpool,1679,339.3
Luton,850,397
Manchester,1743,318.3
Medway,809,291.2
Merton,705,341.9
Middlesbrough,699,497.3
Milton Keynes,517,192.5
Newcastle upon Tyne,1083,360.8
Newham,1018,289.2
Norfolk,2244,248.3
North East Lincolnshire,166,103.9
North Lincolnshire,524,304.6
North Somerset,492,230
North Tyneside,643,312.2
North Yorkshire,1354,220.3
Northamptonshire,1689,225.9
Northumberland,1067,333.2
Nottingham,628,189.7
Nottinghamshire,1490,181
Oldham,1159,491.9
Oxfordshire,2131,310
Peterborough,469,233.3
Plymouth,375,142.5
Portsmouth,325,151.1
Reading,596,365.2
Redbridge,778,256
Redcar and Cleveland,431,315.2
Richmond upon Thames,418,212.3
Rochdale,887,403.2
Rotherham,1079,407.7
Rutland,35,88.2
Salford,983,386.4
Sandwell,1093,333.9
Sefton,980,355.9
Sheffield,2686,461.1
Shropshire,874,272.9
Slough,469,314.5
Solihull,683,317.8
Somerset,799,142.8
South Gloucestershire,406,143.6
South Tyneside,751,499.8
Southampton,611,241.7
Southend-on-Sea,459,251.6
Southwark,1290,406.6
St. Helens,766,425.4
Staffordshire,2405,274.8
Stockport,1091,373.9
Stockton-on-Tees,652,330.6
Stoke-on-Trent,864,337.7
Suffolk,1551,204.5
Sunderland,1387,500
Surrey,3034,255
Sutton,769,376
Swindon,467,210.4
Tameside,881,391.2
Telford and Wrekin,376,211.5
Thurrock,386,223.7
Torbay,224,165
Tower Hamlets,650,204.6
Trafford,885,374.4
Wakefield,790,229
Walsall,1111,392.1
Waltham Forest,781,282.3
Wandsworth,1015,310.9
Warrington,806,384.6
Warwickshire,1599,280
West Berkshire,385,242.9
West Sussex,1378,160.4
Westminster,703,275.3
Wigan,1231,377.5
Wiltshire,550,110.4
Windsor and Maidenhead,312,206.8
Wirral,1365,422.3
Wokingham,458,272.7
Wolverhampton,1054,402.3
Worcestershire,1446,244.2
York,463,220.6
